"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "cat" "gp"
"237" 1 239 2391 103.862787321533 49.4341498228774 4.47751918491402 4.95251119844367 1 "Sti"
"238" 1 240 2400 104.99163002045 49.6971248292976 0.0583713661685579 1.11181880241057 1 "Sti"
"239" 1 241 2410.25 104.104068371672 48.0014354122662 0.682511079765504 0.682511079765504 1 "Sti"
"240" 1 242 2420 103.087740753418 47.1866626324306 0.678959113775136 1.49396532008967 1 "Sti"
"241" 1 243 2430 121.164313102309 65.1448888753004 -102.6741820127 102.6741820127 1 "Sti"
"242" 1 244 2440.42857142857 305.913170227198 61.7533796417237 -158.761167571441 158.761167571441 1 "Sti"
"243" 1 245 2450 391.034852557646 50.9760003486347 -18.9851020051187 34.4678375893731 1 "Sti"
"535" 2 239 2391 319.312281718393 168.369123518687 -2.20375195732652 2.20375195732652 1 "Sti"
"536" 2 240 2400 324.615653811453 166.255058298525 -3.66769757018062 6.9734047062102 1 "Sti"
"537" 2 241 2410.25 313.556986145386 182.196972230523 43.2607724813843 43.2607724813843 1 "Sti"
"538" 2 242 2420 240.313118533188 210.11780361143 58.8047351190841 58.8047351190841 1 "Sti"
"539" 2 243 2430 220.595715645108 213.641213320883 0.217476294275741 4.41028926888265 1 "Sti"
"540" 2 244 2440.66666666667 249.710529161397 207.893247621265 -56.4741955081601 56.4741955081601 1 "Sti"
"541" 2 245 2450 260.073832432387 177.301584135637 54.0465357830024 54.9875498110585 1 "Sti"
"833" 3 239 2391 50.389100641267 293.681190269785 3.17641203137518 3.17641203137518 1 "Sti"
"834" 3 240 2400 49.7912778444173 296.987189989131 1.0847745277212 1.0847745277212 1 "Sti"
"835" 3 241 2410.25 48.652383403268 300.254291921995 1.00228243034834 1.00228243034834 1 "Sti"
"836" 3 242 2420 47.7849054286571 302.268213841094 0.498315741110083 0.526809766014757 1 "Sti"
"837" 3 243 2430 52.9754901635607 304.737284454147 -78.4676463416508 78.4676463416508 1 "Sti"
"838" 3 244 2440.66666666667 244.027992008803 303.961173340484 -167.165120266409 167.165120266409 1 "Sti"
"839" 3 245 2450 254.821253271318 326.277536245891 90.3172070700328 90.3172070700328 1 "Sti"
"1131" 4 239 2391 41.718461636398 463.434027354141 0.150630459505905 0.150630459505905 1 "Sti"
"1132" 4 240 2400 41.6874252957362 463.373988039806 -0.0676757913564856 0.11139074468948 1 "Sti"
"1133" 4 241 2410.25 41.845909625146 463.520162366787 -0.457284468700678 0.457284468700678 1 "Sti"
"1134" 4 242 2420 42.4633416481817 463.732533099618 -1.19333471070792 1.35846648099936 1 "Sti"
"1135" 4 243 2430 68.8769409632919 449.421949422891 -126.791032744488 126.791032744488 1 "Sti"
"1136" 4 244 2440.66666666667 304.53030473392 456.142629116767 -198.235843349259 198.235843349259 1 "Sti"
"1137" 4 245 2450 376.776402155947 472.062575399102 -8.27200476002594 14.522188060878 1 "Sti"
"1429" 5 239 2391 53.0642080283338 564.288044797179 0.14135053213878 0.199097696080635 1 "Sti"
"1430" 5 240 2400 53.1622847759877 564.278908963052 -0.274053655089105 0.287137884450715 1 "Sti"
"1431" 5 241 2410.25 53.1784845323095 564.205524283819 0.185316329053627 0.187787962294216 1 "Sti"
"1432" 5 242 2420 53.0774739110239 563.933232805924 -6.02357681588644 6.22383577163941 1 "Sti"
"1433" 5 243 2430 102.909685163603 563.006818201636 -77.2970313449991 77.2970313449991 1 "Sti"
"1434" 5 244 2440.66666666667 86.8336065803504 566.67935635549 106.874134242314 106.874134242314 1 "Sti"
"1435" 5 245 2449.875 34.4262198635717 571.490912420004 -23.394055929197 30.6106925513621 1 "Sti"
"1727" 6 239 2391 45.8947789512928 717.634071794232 19.1323644868494 19.1323644868494 1 "Sti"
"1728" 6 240 2400 17.3430078175926 717.166814119775 18.3496140379331 18.6583499052648 1 "Sti"
"1729" 6 241 2410.25 14.4195287051441 715.224119971158 -2.06676649445007 2.06676649445007 1 "Sti"
"1730" 6 242 2420 18.8059067202042 710.960665930797 -5.63138605130814 5.63138605130814 1 "Sti"
"1731" 6 243 2430 24.4702185614397 705.04867130484 -44.8738871145889 44.8738871145889 1 "Sti"
"1732" 6 244 2440.66666666667 127.560884177555 666.608349950372 -85.7972779621741 85.7972779621741 1 "Sti"
"1733" 6 245 2450 152.898159973996 673.732159801845 1.01997391242716 4.2258945495017 1 "Sti"
"2024" 7 239 2391 271.791189141633 850.730278181035 -7.97533528315603 7.97533528315603 1 "Sti"
"2025" 7 240 2400 270.576039826251 845.78542977872 -3.60176200574188 10.832087726545 1 "Sti"
"2026" 7 241 2410.25 295.824543269344 856.90348683153 -38.1262146506137 38.1262146506137 1 "Sti"
"2027" 7 242 2420 326.281277004192 854.391803294004 -21.2189457964466 21.2189457964466 1 "Sti"
"2028" 7 243 2430 353.977025759526 848.705763898804 -42.4518657712749 42.4518657712749 1 "Sti"
"2029" 7 244 2440.66666666667 389.870712821588 836.8542386627 -12.8558772228399 12.8558772228399 1 "Sti"
"2030" 7 245 2450 392.149406891401 835.199437835506 0.00553508184555085 1.66588543917669 1 "Sti"
"2322" 8 239 2391 27.3435049255581 985.962243085849 13.2585667259509 13.4328670262512 1 "Sti"
"2323" 8 240 2400 31.5526551593253 980.661172166011 -5.16832512161883 5.16832512161883 1 "Sti"
"2324" 8 241 2410.25 33.9504325287039 973.833097992916 -0.634783400123666 0.814800825228701 1 "Sti"
"2325" 8 242 2420 32.7447987359813 966.458078377169 3.12664086110548 3.12664086110548 1 "Sti"
"2326" 8 243 2430 37.4677236230708 965.700170608507 -61.9968658383133 62.4706530359155 1 "Sti"
"2327" 8 244 2440.66666666667 178.92221712559 952.96605705625 -156.702781071574 156.702781071574 1 "Sti"
"2328" 8 245 2450 308.801872723456 909.567035433233 -112.350580810891 112.350580810891 1 "Sti"
"2620" 9 239 2391 250.25646648083 1050.58625717605 -25.3359571536209 25.3359571536209 1 "Sti"
"2621" 9 240 2400 276.996930046262 1051.75852672093 -35.4504524433945 35.4504524433945 1 "Sti"
"2622" 9 241 2410.25 315.164870480518 1054.40399024496 -59.8473670636261 59.8473670636261 1 "Sti"
"2623" 9 242 2420 388.36649579291 1047.25291383607 -32.5735122523211 39.0660721861228 1 "Sti"
"2624" 9 243 2430 386.623898350798 1043.95865316603 1.71557759583879 1.71557759583879 1 "Sti"
"2625" 9 244 2440.66666666667 386.741371797591 1047.31216283186 -1.45414437343589 1.45414437343589 1 "Sti"
"2626" 9 245 2450 389.366307835604 1050.97605519345 -3.31545117369001 3.31545117369001 1 "Sti"
