"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "cat" "gp"
"318" 1 318 3180 192.048425416953 91.2397555368511 -6.40355370965636 6.40355370965636 1 "Sti"
"319" 1 319 3190 204.503770448223 63.2702747535555 -15.6893397369548 15.6893397369548 1 "Sti"
"320" 1 320 3200 211.540165997415 39.6820175462277 14.0429534944271 17.7853950425484 1 "Sti"
"321" 1 321 3210 184.922198563862 21.1352435909963 16.6238524397271 16.6238524397271 1 "Sti"
"322" 1 322 3220 181.158094276788 38.4773343223149 -2.3211113607787 3.79717224085843 1 "Sti"
"323" 1 323 3230 185.591547250793 46.0338474832312 -3.96761548059837 3.96761548059837 1 "Sti"
"324" 1 324 3240 187.647096606772 48.7123750336388 1.26770038517395 2.15726492506724 1 "Sti"
"325" 1 325 3250 186.433180666297 41.3994738254949 -4.55992676639846 4.79352224371564 1 "Sti"
"4072" 2 318 3180 255.045032791504 161.554092118032 -54.0450712224572 54.0450712224572 1 "Sti"
"4073" 2 319 3190 319.418589966822 159.457348600784 -62.3105600532933 62.3105600532933 1 "Sti"
"4074" 2 320 3200 381.463717058729 161.526300035043 -40.2199807643459 40.6648341010545 1 "Sti"
"4075" 2 321 3210 389.165584678011 153.928713427673 7.16879491555017 7.16879491555017 1 "Sti"
"4076" 2 322 3220 375.868507868501 158.277868354489 7.26975303323104 10.1299478612997 1 "Sti"
"4077" 2 323 3230 379.334168377403 147.402547375715 1.15701856551954 5.91892623963014 1 "Sti"
"4078" 2 324 3240 367.346485747107 153.07871197816 16.5656977843107 16.5656977843107 1 "Sti"
"4079" 2 325 3250 354.856684805191 157.028496187311 7.04813869163678 7.04813869163678 1 "Sti"
"7797" 3 318 3180 29.4175475000467 316.729065111988 -7.08009585892516 7.10751672560625 1 "Sti"
"7798" 3 319 3190 65.2296107485038 317.635936526079 -82.4825207654255 82.4825207654255 1 "Sti"
"7799" 3 320 3200 181.335069062188 302.831661102374 -114.609582844483 114.609582844483 1 "Sti"
"7800" 3 321 3209.75 271.931165852032 292.573032699562 -80.0265534652687 80.0265534652687 1 "Sti"
"7801" 3 322 3219.8 352.87866030305 275.097112543913 -62.7004292182745 62.7004292182745 1 "Sti"
"7802" 3 323 3230 384.511247635554 280.673535850323 -5.69989872431017 11.5265283554666 1 "Sti"
"7803" 3 324 3240 379.926466663201 287.477779881439 -0.225423268627424 4.9792578861269 1 "Sti"
"7804" 3 325 3250 385.695705819781 302.839302209627 -5.66921480122915 5.66921480122915 1 "Sti"
"11479" 4 318 3180 28.7449151719438 400.740792317505 -9.38694628482306 9.38694628482306 1 "Sti"
"11480" 4 319 3190.25 57.8718597843874 392.000435136408 -39.075878305018 39.075878305018 1 "Sti"
"11481" 4 320 3199.71428571429 84.4370112818733 390.075368449924 -15.0284823569401 15.0284823569401 1 "Sti"
"11482" 4 321 3210 108.863500357608 390.237505522622 -48.7756824920977 48.7756824920977 1 "Sti"
"11483" 4 322 3220 191.179557530036 393.968843637094 -100.630909342984 100.630909342984 1 "Sti"
"11484" 4 323 3230 267.600612575809 393.543826801092 -45.7632851493157 45.7632851493157 1 "Sti"
