"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "cat" "gp"
"3935" 1 3974 39740 25.8465907159534 36.1122042676479 -17.9335967403154 17.9335967403154 1 "Sti"
"3936" 1 3975 39750 76.7114772541003 32.5683578722506 -92.102896974429 92.102896974429 1 "Sti"
"3937" 1 3976 39760 190.348709233352 79.0836060352213 -104.081288377243 104.081288377243 1 "Sti"
"3938" 1 3977 39770 268.532434622588 95.5012656755832 -56.8475558781161 56.8475558781161 1 "Sti"
"3939" 1 3978 39780 326.692996574289 100.003475393373 -67.0718550857425 67.0718550857425 1 "Sti"
"3940" 1 3979 39790 374.08661939793 98.7468382661008 -23.2660059185702 23.2660059185702 1 "Sti"
"3941" 1 3980 39800 386.403748753664 82.2867869759635 -2.32202512363568 3.522200786366 1 "Sti"
"3942" 1 3981 39810 385.053299372754 68.866300283678 1.8407508431153 1.89900206618938 1 "Sti"
"7892" 2 3974 39740 8.2348 161.8436 4.544557 5.616455 1 "Sti"
"7893" 2 3975 39750 8.98789 193.6905 -1.440685 1.530053 1 "Sti"
"7894" 2 3976 39760 11.20295 212.4135 -1.878809 2.632999 1 "Sti"
"7895" 2 3977 39770 17.35365 199.8241 -18.92989 18.92989 1 "Sti"
"7896" 2 3978 39780 52.17546 174.3827 -48.42921 48.42921 1 "Sti"
"7897" 2 3979 39790 104.6771 158.1845 -47.2156 47.2156 1 "Sti"
"7898" 2 3980 39800 142.8509 170.3928 -38.87183 38.87183 1 "Sti"
"7899" 2 3981 39810 191.4023 171.817 -46.41722 46.41722 1 "Sti"
"11849" 3 3974 39740 378.6172 326.5382 -1.083419 4.090818 1 "Sti"
"11850" 3 3975 39750 385.0596 308.8798 -7.82931 7.82931 1 "Sti"
"11851" 3 3976 39760 387.2379 290.6949 3.365193 3.365193 1 "Sti"
"11852" 3 3977 39770 381.9837 282.9486 7.15819 7.15819 1 "Sti"
"11853" 3 3978 39780 376.5028 285.0828 -5.531638 9.656766 1 "Sti"
"11854" 3 3979 39790 388.4185 294.8088 -6.271583 6.271583 1 "Sti"
"11855" 3 3980 39800 389.2578 295.5668 0.8323852 1.188204 1 "Sti"
"11856" 3 3981 39810 388.9541 290.1879 1.398109 1.889349 1 "Sti"
"15806" 4 3974 39740 61.69704 430.5637 -94.84815 94.84815 1 "Sti"
"15807" 4 3975 39750 189.2793 451.6137 -103.0538 103.0538 1 "Sti"
"15808" 4 3976 39760 251.8677 446.6332 -18.85908 28.73491 1 "Sti"
"15809" 4 3977 39770 242.6723 442.9677 16.11775 16.11775 1 "Sti"
"15810" 4 3978 39779.7 218.5118 452.2791 30.39944 30.39944 1 "Sti"
"15811" 4 3979 39790 203.4896 462.2504 -14.41621 16.48767 1 "Sti"
"15812" 4 3980 39800 245.2928 458.2197 -48.11344 48.11344 1 "Sti"
"15813" 4 3981 39810 270.876 456.9376 -11.64479 11.64479 1 "Sti"
"19763" 5 3974 39740 382.1047 545.5343 -8.93533 9.971738 1 "Sti"
"19764" 5 3975 39750 385.5231 528.8263 5.384126 5.681736 1 "Sti"
"19765" 5 3976 39760 384.4177 530.8475 -5.112689 5.817779 1 "Sti"
"19766" 5 3977 39770 386.7373 531.9076 0.7262463 1.151241 1 "Sti"
"19767" 5 3978 39780 387.7356 537.4753 -1.87001 2.369961 1 "Sti"
"19768" 5 3979 39790 386.0215 529.397 5.202314 5.202314 1 "Sti"
"19769" 5 3980 39800 380.1908 534.3773 2.449167 5.958292 1 "Sti"
"19770" 5 3981 39810 384.4088 547.4153 -4.424793 4.705885 1 "Sti"
"23720" 6 3974 39740 63.00511 648.0129 -87.53202 87.53202 1 "Sti"
"23721" 6 3975 39750 183.0642 673.3333 -104.9681 104.9681 1 "Sti"
"23722" 6 3976 39760 272.9982 650.477 -90.44815 90.44815 1 "Sti"
"23723" 6 3977 39770 351.5726 649.8099 -47.77497 47.77497 1 "Sti"
"23724" 6 3978 39780 363.4703 666.4587 20.45357 26.27511 1 "Sti"
"23725" 6 3979 39790 337.4084 692.7141 8.618405 10.04916 1 "Sti"
"23726" 6 3980 39800 335.5737 668.7059 15.46573 15.71954 1 "Sti"
"23727" 6 3981 39810 303.8224 660.6011 30.53144 30.53144 1 "Sti"
"27677" 7 3974 39740 34.25388 765.7009 -3.358449 14.90038 1 "Sti"
"27678" 7 3975 39750 53.55233 757.2555 -16.9661 16.9661 1 "Sti"
"27679" 7 3976 39760 66.28094 760.7367 -35.58058 35.58058 1 "Sti"
"27680" 7 3977 39770 136.3296 767.4028 -74.44467 74.44467 1 "Sti"
"27681" 7 3978 39780 210.4931 761.4444 -80.75425 80.75425 1 "Sti"
"27682" 7 3979 39790 262.3299 761.734 -19.81787 19.81787 1 "Sti"
"27683" 7 3980 39800 292.9282 762.8511 -38.77985 38.77985 1 "Sti"
"27684" 7 3981 39810 317.7767 764.8533 -19.39181 19.39181 1 "Sti"
"31634" 8 3974 39740 37.73186 891.7699 -26.4663 26.4663 1 "Sti"
"31635" 8 3975 39750 89.36777 879.8977 -47.165 47.165 1 "Sti"
"31636" 8 3976 39760 119.532 879.5 -41.72971 41.72971 1 "Sti"
"31637" 8 3977 39770 181.7744 882.8417 -68.82708 68.82708 1 "Sti"
"31638" 8 3978 39780 264.0092 893.5297 -86.4093 86.4093 1 "Sti"
"31639" 8 3979 39790 327.5393 902.375 -51.75444 51.75444 1 "Sti"
"31640" 8 3980 39800 377.4854 894.976 -23.87596 27.03291 1 "Sti"
"31641" 8 3981 39810 375.5873 883.1647 4.550113 4.579163 1 "Sti"
"35512" 9 3974 39740 97.56976 1061.609 -34.66675 34.66675 1 "Sti"
"35513" 9 3975 39750 120.5693 1021.463 -18.20915 18.20915 1 "Sti"
"35514" 9 3976 39760 171.3784 1017.278 -92.85782 92.85782 1 "Sti"
"35515" 9 3977 39770 263.9224 1034.664 -63.56437 63.56437 1 "Sti"
"35516" 9 3978 39780 291.5953 1068.859 -1.062728 9.08305 1 "Sti"
"35517" 9 3979 39790 291.222 1061.85 -3.171795 3.171795 1 "Sti"
"35518" 9 3980 39800 301.1749 1065.534 -19.79507 19.79507 1 "Sti"
"35519" 9 3981 39810 319.5723 1053.565 -25.66724 25.66724 1 "Sti"
"39469" 10 3974 39740 98.08895 1174.763 -31.10342 31.10342 1 "Sti"
"39470" 10 3975 39750 162.4499 1166.94 -110.2275 110.2275 1 "Sti"
"39471" 10 3976 39760 291.9401 1134.855 -116.8406 116.8406 1 "Sti"
"39472" 10 3977 39770 371.9829 1121.67 -33.67774 33.67774 1 "Sti"
"39473" 10 3978 39780 380.3017 1126.19 -4.882591 5.11475 1 "Sti"
"39474" 10 3979 39790 384.461 1139.636 -0.7364392 3.387769 1 "Sti"
"39475" 10 3980 39800 382.8179 1171.261 -2.564184 5.200957 1 "Sti"
"39476" 10 3981 39810 387.6062 1181.007 -1.13799 1.802768 1 "Sti"
