"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "cat" "gp"
"3587" 1 3743 37430 383.51188140897 45.5081327683644 5.17673317973112 5.17673317973112 1 "Sti"
"3588" 1 3744 37440 381.117274050315 44.8012361695363 -1.51476136593834 2.86353694881831 1 "Sti"
"3589" 1 3745 37450 387.543121020012 38.2820871860684 -5.27716119309559 5.45338987322805 1 "Sti"
"3590" 1 3746 37460 387.88792617478 34.6523787327948 0.289769149914662 1.4741988471298 1 "Sti"
"3591" 1 3747 37470 387.657628059435 31.6921321423535 2.2188186443135 2.3896279480042 1 "Sti"
"3592" 1 3748 37480 384.340441828626 31.7351536094016 3.21603942667883 3.21603942667883 1 "Sti"
"3593" 1 3749 37490 381.583577491067 30.9367898373365 1.63564375961113 1.63564375961113 1 "Sti"
"7189" 2 3743 37430 237.7846 155.0822 -6.026955 6.238406 1 "Sti"
"7190" 2 3744 37440 243.8891 158.0084 -16.25648 16.47006 1 "Sti"
"7191" 2 3745 37450 261.7434 157.0711 -5.082357 7.113234 1 "Sti"
"7192" 2 3746 37460 258.766 159.8255 -6.870736 11.35803 1 "Sti"
"7193" 2 3747 37470 275.0935 170.8967 -11.37971 11.37971 1 "Sti"
"7194" 2 3748 37480 282.3559 174.6075 -7.822299 7.822299 1 "Sti"
"7195" 2 3749 37490 290.5306 172.8853 -9.276262 9.276262 1 "Sti"
"10792" 3 3743 37430 270.0264 293.5381 -67.6033 67.6033 1 "Sti"
"10793" 3 3744 37440 348.0232 296.202 -57.51705 57.51705 1 "Sti"
"10794" 3 3745 37450 382.0815 286.3034 -8.266542 16.23854 1 "Sti"
"10795" 3 3746 37460 373.0656 283.2103 5.498265 6.481588 1 "Sti"
"10796" 3 3747 37470 376.4446 290.6844 -7.690509 7.690509 1 "Sti"
"10797" 3 3748 37480 377.353 338.6865 4.296995 6.228452 1 "Sti"
"10798" 3 3749 37490 380.3759 346.4912 -6.773129 7.136047 1 "Sti"
"14395" 4 3743 37430 123.2961 402.622 -76.06255 76.06255 1 "Sti"
"14396" 4 3744 37440 176.2936 400.568 -36.00516 36.00516 1 "Sti"
"14397" 4 3745 37450 194.5544 400.018 -25.13181 25.13181 1 "Sti"
"14398" 4 3746 37460 260.1237 404.3823 -75.25244 75.25244 1 "Sti"
"14399" 4 3747 37470 295.3511 403.572 -18.85823 18.85823 1 "Sti"
"14400" 4 3748 37480 332.3686 408.5099 -38.86285 38.86285 1 "Sti"
"14401" 4 3749 37490 352.6805 405.6183 -8.762648 8.762648 1 "Sti"
"17997" 5 3743 37430 137.6357 520.9669 -7.340082 9.665809 1 "Sti"
"17998" 5 3744 37440 184.0456 535.5998 -85.87955 85.87955 1 "Sti"
"17999" 5 3745 37450 267.4101 532.6583 -72.3145 72.3145 1 "Sti"
"18000" 5 3746 37460 332.8646 532.1264 -36.50936 36.50936 1 "Sti"
"18001" 5 3747 37470 342.2978 537.1972 -7.476152 7.476152 1 "Sti"
"18002" 5 3748 37480 367.2588 532.0516 -32.05834 32.05834 1 "Sti"
"18003" 5 3749 37490 380.7488 533.3674 -3.241124 4.095912 1 "Sti"
"21600" 6 3743 37430 58.65558 703.396 -49.68571 49.68571 1 "Sti"
"21601" 6 3744 37440 129.2805 687.1505 -78.26797 78.26797 1 "Sti"
"21602" 6 3745 37450 204.5183 699.3366 -68.48609 68.48609 1 "Sti"
"21603" 6 3746 37460 255.2326 706.3771 -19.05777 20.10939 1 "Sti"
"21604" 6 3747 37470 254.9224 706.7796 -0.07639464 1.619387 1 "Sti"
"21605" 6 3748 37480 268.7572 696.9408 -35.43753 35.43753 1 "Sti"
"21606" 6 3749 37490 310.0367 692.5595 -43.967 43.967 1 "Sti"
"25202" 7 3743 37430 365.3031 829.1531 -15.38141 15.38141 1 "Sti"
"25203" 7 3744 37440 376.5601 835.3527 5.444381 8.278684 1 "Sti"
"25204" 7 3745 37450 368.7184 832.0796 1.681566 3.477068 1 "Sti"
"25205" 7 3746 37460 374.7777 827.7679 -7.395653 8.936185 1 "Sti"
"25206" 7 3747 37470 374.6812 815.9272 0.1595842 4.671342 1 "Sti"
"25207" 7 3748 37480 375.7092 818.241 3.56608 4.872608 1 "Sti"
"25208" 7 3749 37490 373.4146 828.5108 3.536046 4.177807 1 "Sti"
"28804" 8 3743 37430 375.6618 944.6871 -17.39917 17.99626 1 "Sti"
"28805" 8 3744 37440 381.0483 948.7807 -1.683822 1.683822 1 "Sti"
"28806" 8 3745 37450 381.0671 939.4916 0.4636742 1.374477 1 "Sti"
"28807" 8 3746 37460 381.2882 934.8725 -1.003657 1.246221 1 "Sti"
"28808" 8 3747 37470 382.3151 933.1919 1.166164 1.987561 1 "Sti"
"28809" 8 3748 37480 380.7671 944.6493 -1.363452 3.092788 1 "Sti"
"28810" 8 3749 37490 381.1311 946.246 2.076214 2.563945 1 "Sti"
"32307" 9 3743 37430.38 101.6305 1058.68 -23.18226 23.18226 1 "Sti"
"32308" 9 3744 37440 133.468 1058.722 -66.22762 66.22762 1 "Sti"
"32309" 9 3745 37450.71 205.1509 1014.433 -52.29701 52.29701 1 "Sti"
