"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "cat" "gp"
"39" 1 46 464 9.84055118110236 79.0282152230971 -0.0467006583898417 0.0467006583898417 1 "Sti"
"40" 1 49 493.5 9.87878787878788 73.2130987292278 -0.0476186969912806 0.0476186969912806 1 "Sti"
"41" 1 50 496.333333333333 9.91051726734121 73.3998973342053 -0.0216457334590423 0.057267706768716 1 "Sti"
"42" 1 52 520 9.66492544958343 76.1600420827449 0.149122186550535 0.149122186550535 1 "Sti"
"43" 1 53 531 9.63627730294397 77.0014245014245 0.00746384859645666 0.00746384859645666 1 "Sti"
"2538" 4 46 464 9.40705128205128 408.948717948718 -0.000282103362671648 0.000282103362671648 1 "Sti"
"2539" 4 49 493.5 9.42147435897436 409.169871794872 -0.00456334922053614 0.00872669406950521 1 "Sti"
"2540" 4 50 496.333333333333 9.42231900082656 409.313440066579 0.0102188600742199 0.0102188600742199 1 "Sti"
"2541" 4 52 520 9.40731175795257 409.089402892533 0.0106602510295701 0.0143198056758749 1 "Sti"
"2542" 4 53 531 9.43108974358974 409.145833333333 -0.00240953885503714 0.00240953885503714 1 "Sti"
"5026" 5 46 464 9.22884811416921 549.453109072375 -14.9793846213715 14.9793846213715 1 "Sti"
"5027" 5 49 493.5 153.03554512427 600.561166851525 -34.2288126164196 34.2288126164196 1 "Sti"
"5028" 5 50 496.333333333333 156.127664787538 600.123463844377 -52.1603422436543 52.1603422436543 1 "Sti"
"5029" 5 52 520 183.281049515057 604.761890162938 -30.8387484927552 30.8387484927552 1 "Sti"
"5030" 5 53 531 199.435006435006 612.535392535392 -4.16080518844836 4.16080518844836 1 "Sti"
"7676" 6 46 464 7.50294464075383 685.972320376914 -32.8215729880513 32.8215729880513 1 "Sti"
"7677" 6 49 493.5 322.215049594284 680.943903896215 -78.8864574195627 78.8864574195627 1 "Sti"
"7678" 6 50 496.333333333333 330.736978715305 682.38442314717 -120.673721941706 120.673721941706 1 "Sti"
"7679" 6 52 522.5 402.208398469002 698.857000326712 -17.5345187725457 17.5345187725457 1 "Sti"
"10319" 8 46 464 7.45977011494253 926.166224580018 0.0127709746907225 0.0127709746907225 1 "Sti"
"10320" 8 49 493.5 7.70156689209874 927.459756199382 0.0336311863311805 0.0336311863311805 1 "Sti"
"10321" 8 50 496.333333333333 7.70117308826986 927.597470242632 0.00120354804521128 0.0435608535000629 1 "Sti"
"10322" 8 52 520 7.66805636623871 927.916061877636 -0.0184787596051912 0.0304828595579743 1 "Sti"
"10323" 8 53 531 7.74038461538461 927.654647435897 -0.00336030629429196 0.00336030629429196 1 "Sti"
"12971" 9 46 464 6.27163280662152 1068.97667419112 -22.2490260668832 22.2490260668832 1 "Sti"
"12972" 9 49 493.5 215.169793273264 1087.05853627188 -54.4757720648848 54.4757720648848 1 "Sti"
"12973" 9 50 496.333333333333 223.69568682188 1087.05520913127 -83.3353102255087 83.3353102255087 1 "Sti"
"12974" 9 52 520 284.111517618763 1086.29872100679 -59.4143374561599 59.4143374561599 1 "Sti"
"12975" 9 53 531 310.009737827715 1083.38501872659 -2.89273122452363 2.89273122452363 1 "Sti"
"15616" 10 46 464 7.37121212121212 1162.92727272727 0.0121958047982078 0.0121958047982078 1 "Sti"
"15617" 10 49 493.5 7.29388817111685 1162.64428294574 0.0138089414322611 0.0138089414322611 1 "Sti"
"15618" 10 50 496.333333333333 7.26450173271289 1162.76181472495 0.0285712681855657 0.0285712681855657 1 "Sti"
"15619" 10 52 520 7.29273778057017 1163.03263995335 -0.0124819466379833 0.0259797919590099 1 "Sti"
"15620" 10 53 531 7.33333333333333 1163.00305810398 -0.00212336230035426 0.00212336230035426 1 "Sti"
"265" 1 347 3466 10.0191111111111 69.9026666666667 -0.00200112580917455 0.00200112580917455 2 "Sti"
"266" 1 350 3500.6 9.98662413954526 70.0210746676857 0.0129991821436377 0.0129991821436377 2 "Sti"
"267" 1 351 3509.5 9.98291832599539 70.2055697966209 -0.0136776491317079 0.0158207445405267 2 "Sti"
"268" 1 352 3518 10.0148554614814 70.4236090216517 -0.00609533799071293 0.0121279633455185 2 "Sti"
"269" 1 353 3530.5 10.0062915477553 70.1907517083036 -0.0178936851754443 0.0242926667048735 2 "Sti"
"2764" 4 347 3466 8.70168612191958 480.232166018158 -0.0117675078544632 0.0117675078544632 2 "Sti"
"2765" 4 350 3500.6 8.54095412845491 480.027475664455 0.0793622345815628 0.102650991697804 2 "Sti"
"2766" 4 351 3509.5 8.44823891786439 480.194349911552 -0.0132146801082964 0.0368116612150633 2 "Sti"
"2767" 4 352 3518 8.60494057913315 480.311336361843 -0.144530066819021 0.144530066819021 2 "Sti"
"2768" 4 353 3530.5 8.64674997934715 480.113938703596 0.0209178429074495 0.0443284992715025 2 "Sti"
"5252" 5 347 3466 10.0298013245033 587.948123620309 0.0261143134098418 0.0261143134098418 2 "Sti"
"5253" 5 350 3500.6 9.86724881609222 593.80224182717 0.186277355236601 0.186277355236601 2 "Sti"
"5254" 5 351 3509.5 9.6993320212724 596.248359297005 0.0660696688115827 0.0678161513090778 2 "Sti"
"5255" 5 352 3518 9.73449437588208 597.448765228662 0.00458074686957843 0.035868578072531 2 "Sti"
"5256" 5 353 3530.5 9.6941774140505 597.162487188301 0.0170541717404014 0.0212358865345372 2 "Sti"
"7900" 6 347 3466 8.00736961451247 682.354308390023 -0.00775112233445618 0.00775112233445618 2 "Sti"
"7901" 6 350 3500.6 8.11342038233286 682.2952961154 -0.014730822708561 0.014730822708561 2 "Sti"
"7902" 6 351 3509.5 8.03704356957579 682.203311495454 0.00909130207717901 0.0151580522496548 2 "Sti"
"7903" 6 352 3518 8.09461318313879 682.159188200783 -0.0140354901372284 0.0249317015728288 2 "Sti"
"7904" 6 353 3530.5 8.08029790882308 682.465687496415 -0.0301555923320915 0.0471569322782859 2 "Sti"
"10545" 8 347 3466 7.86329588014981 921.956928838951 0.016113199665833 0.016113199665833 2 "Sti"
"10546" 8 350 3500.6 7.64838398356137 922.294110248828 0.110672121623166 0.110672121623166 2 "Sti"
"10547" 8 351 3509.5 7.62110828919568 922.325019598358 -0.0541313217170565 0.0678895227093417 2 "Sti"
"10548" 8 352 3518 7.77748037436893 922.224507392269 -0.145709610994585 0.145709610994585 2 "Sti"
"10549" 8 353 3530.5 7.84895623792691 921.941935366562 -0.00612668999352906 0.0264810920664882 2 "Sti"
"13197" 9 347 3466 6.00836550836551 1095.69691119691 -0.0153119515703342 0.0153119515703342 2 "Sti"
"13198" 9 350 3500.6 6.0149730037389 1096.02835511844 -0.0318493461213842 0.0327077838433647 2 "Sti"
"13199" 9 351 3509.5 6.00588876419543 1095.976483044 0.00125463968494799 0.0179643459060337 2 "Sti"
"13200" 9 352 3518 6.01800811670561 1095.80346296798 -0.0095402052665241 0.0151586099908831 2 "Sti"
"13201" 9 353 3530.5 6.03072889391126 1095.92749852367 -0.000427191272704519 0.0228322421521394 2 "Sti"
"15842" 10 347 3466 6.31957473420888 1210.6823014384 -0.0286900465360906 0.0286900465360906 2 "Sti"
"15843" 10 350 3500.6 6.21432345846606 1210.66380201044 -0.0611933345598841 0.071022678288819 2 "Sti"
"15844" 10 351 3509.5 6.3359974962466 1211.27887586066 -0.0783857108284653 0.0958994544343401 2 "Sti"
"15845" 10 352 3518 6.37772879010367 1210.90756961167 -0.025610526082847 0.0257524751046319 2 "Sti"
"15846" 10 353 3530.5 6.3838939267158 1210.71021837141 -0.000880521178819649 0.00869524240576247 2 "Sti"
"518" 1 647 6473 10.6495726495726 35.6013431013431 0.0102812492860238 0.0102812492860238 3 "Sti"
"519" 1 650 6499 10.5862262281876 35.5516729622735 0.0114305022758074 0.0114305022758074 3 "Sti"
"520" 1 652 6515 10.6742424242424 35.6584595959596 0.00567711950690786 0.00567711950690786 3 "Sti"
"3018" 4 647 6473 8.60815602836879 469.587765957447 -0.0261034241461733 0.0261034241461733 3 "Sti"
"3019" 4 650 6499 8.50543729174194 469.640249257297 -0.0550522324673928 0.0550522324673928 3 "Sti"
"3020" 4 652 6515 8.67413632119514 470.681605975724 -0.0301437286255659 0.0301437286255659 3 "Sti"
"5506" 5 647 6473 9.28735632183908 591.727518593644 0.0204332246245507 0.0204332246245507 3 "Sti"
"5507" 5 650 6499 9.28879518781111 592.512793138728 0.0223715542688065 0.0223715542688065 3 "Sti"
"5508" 5 652 6515 9.49321912919343 591.853675945753 0.00983925843682698 0.00983925843682698 3 "Sti"
"8154" 6 647 6473 7.30196078431373 705.973420479303 -0.0122810416670625 0.0122810416670625 3 "Sti"
"8155" 6 650 6499 7.21972618686102 705.791893157202 -0.0268033430764474 0.0268033430764474 3 "Sti"
