,frame,pos_x,pos_y,size,id
0,37.0,85.60372340425532,367.9237588652482,188.0,A
1,37.0,155.78844652615143,388.8532396565183,213.5,B
2,37.0,336.29585006693435,380.20950468540826,249.0,C
3,37.0,717.8923533778767,336.9435783221975,224.5,D
4,37.0,593.4427536231883,388.21521739130435,230.0,E
5,37.0,417.23203169213355,389.24787775891343,294.5,F
6,37.0,845.2550505050505,393.2348484848485,198.0,G
7,37.0,985.8135283363803,384.80255941499087,273.5,H
8,37.0,1101.4252359662194,334.401390958768,335.5,I
9,37.0,1210.4623456790123,385.1759259259259,270.0,J
10,38.0,83.81123388581952,369.768876611418,181.0,A
11,38.0,152.33766233766235,393.0595238095238,154.0,B
12,38.0,336.41295546558706,380.42240215924426,247.0,C
13,38.0,719.5562632696391,340.5470629865534,235.5,D
14,38.0,593.1722846441946,388.83071161048684,222.5,E
15,38.0,417.7335680751174,388.5193661971831,284.0,F
16,38.0,845.6069410815172,393.02582728006456,206.5,G
17,38.0,984.4643510054844,382.55575868372944,273.5,H
18,38.0,1101.375502008032,335.42620481927713,332.0,I
19,38.0,1200.3557098765432,373.7654320987654,216.0,J
20,39.0,84.74976122254058,369.8576886341929,174.5,A
21,39.0,152.2685185185185,390.17870370370366,180.0,B
22,39.0,336.5020325203252,380.2574525745257,246.0,C
23,39.0,719.1106382978724,341.3886524822695,235.0,D
24,39.0,592.9131714495952,389.08535688005884,226.5,E
25,39.0,418.07891637220257,388.7043580683156,283.0,F
26,39.0,845.1238793806031,392.81907090464546,204.5,G
27,39.0,983.523642732049,381.6077057793345,285.5,H
28,39.0,1101.7229902713773,335.7219662058372,325.5,I
29,39.0,1195.2335958005249,370.8678915135608,190.5,J
30,40.0,83.79377777777778,369.16088888888885,187.5,A
31,40.0,152.61737089201878,384.97026604068856,213.0,B
32,40.0,336.6075268817204,380.37768817204295,248.0,C
33,40.0,718.6177105831533,342.6817854571634,231.5,D
34,40.0,591.9131054131054,389.09259259259255,234.0,E
35,40.0,415.6135831381733,387.46135831381736,213.5,F
36,40.0,845.1318944844124,392.673860911271,208.5,G
37,40.0,982.5002868617325,379.93516924842226,290.5,H
38,40.0,1101.8633966244724,336.00632911392404,316.0,I
39,40.0,1182.8928809048568,352.70259481037925,250.5,J
40,41.0,84.03208556149733,369.5757575757575,187.0,A
41,41.0,152.7316513761468,384.0038226299694,218.0,B
42,41.0,336.67556468172484,380.31211498973306,243.5,C
43,41.0,718.109756097561,343.1964769647696,246.0,D
44,41.0,591.7821637426899,389.9130116959064,228.0,E
45,41.0,414.4608333333333,394.595,200.0,F
46,41.0,845.3985680190931,392.4510739856802,209.5,G
47,41.0,982.2540453074433,379.72707659115423,309.0,H
48,41.0,1101.938290338897,336.17046029337376,329.5,I
49,41.0,1178.7345003646972,348.9518599562363,228.5,J
50,42.0,84.56212510711225,370.27849185946866,194.5,A
51,42.0,152.9795918367347,382.7392290249433,220.5,B
52,42.0,336.85154639175255,379.7938144329897,242.5,C
53,42.0,717.4229390681003,343.9068100358423,232.5,D
54,42.0,591.9779249448123,391.308314937454,226.5,E
55,42.0,414.3006700167504,391.7998324958123,199.0,F
56,42.0,845.6753144654087,392.191823899371,212.0,G
57,42.0,981.3173023770038,378.80431177446104,301.5,H
58,42.0,1101.9870839542968,336.38847491306507,335.5,I
59,42.0,1170.7409638554218,346.9076305220883,166.0,J
60,43.0,88.1531279178338,376.79178338001867,178.5,A
61,43.0,153.15876598946576,382.86380737396536,221.5,B
62,43.0,336.9672131147541,379.89412568306005,244.0,C
63,43.0,709.0182648401826,353.1248097412481,219.0,D
64,43.0,591.6718983557548,392.3692077727952,223.0,E
65,43.0,413.07997169143664,387.5732484076433,235.5,F
66,43.0,848.9834834834834,393.6516516516516,222.0,G
67,43.0,957.5160610847814,375.17324907846233,316.5,H
68,43.0,1102.105426356589,336.57622739018086,322.5,I
69,43.0,1172.2427184466019,340.12686084142393,257.5,J
70,44.0,93.86036036036035,385.9756756756757,185.0,A
71,44.0,153.35724962630792,382.8370702541106,223.0,B
72,44.0,337.0485968514716,379.7446954140999,243.5,C
73,44.0,704.8563092633115,362.3734500364697,228.5,D
74,44.0,591.3758700696055,392.8592420726991,215.5,E
75,44.0,412.78715728715724,385.0880230880231,231.0,F
76,44.0,850.7569850552306,393.3229369720598,256.5,G
77,44.0,949.9994282447112,373.3933676386506,291.5,H
78,44.0,1102.2339000515196,336.7408552292632,323.5,I
79,44.0,1173.878841607565,339.5839243498818,282.0,J
80,45.0,98.05589430894308,392.1290650406504,164.0,A
81,45.0,149.98507462686567,378.82669983416247,201.0,B
82,45.0,337.05659075224287,379.67080745341616,241.5,C
83,45.0,702.2126225490196,371.047181372549,272.0,D
84,45.0,591.5642276422764,394.10731707317075,205.0,E
85,45.0,411.6508591065292,382.08797250859106,242.5,F
86,45.0,845.7615176151761,390.49864498644985,246.0,G
87,45.0,935.5590405904059,387.1943419434194,271.0,H
88,45.0,1102.275720164609,337.7057613168724,324.0,I
89,45.0,1176.1968085106382,338.88652482269504,282.0,J
90,46.0,98.81444444444445,393.5544444444444,150.0,A
91,46.0,153.18207885304656,379.68817204301075,232.5,B
92,46.0,337.2012578616352,379.36128581411594,238.5,C
93,46.0,842.7976412166356,389.25574177529484,268.5,D
94,46.0,591.5664335664336,395.3457653457653,214.5,E
95,46.0,413.2263294422827,380.5090791180285,257.0,F
96,46.0,714.5550660792951,388.43392070484583,227.0,G
97,46.0,923.3611638203669,385.43200506008856,263.5,H
98,46.0,1102.4380664652567,338.00503524672706,331.0,I
99,46.0,1177.490442054958,338.76224611708477,279.0,J
100,47.0,99.0079365079365,393.719954648526,147.0,A
101,47.0,155.78694968553458,382.6658805031446,212.0,B
102,47.0,337.18105263157895,379.32,237.5,C
103,47.0,842.1425076452599,388.4892966360856,272.5,D
104,47.0,591.5907668231612,395.86619718309856,213.0,E
105,47.0,413.7436399217221,379.29810828440964,255.5,F
106,47.0,716.1865509761388,391.91178597252343,230.5,G
107,47.0,915.8080808080807,381.4296814296814,214.5,H
108,47.0,1102.405641025641,338.231282051282,325.0,I
109,47.0,1177.8830620855936,338.90295358649786,276.5,J
110,48.0,99.38985005767012,394.1038062283737,144.5,A
111,48.0,159.08512544802866,386.46953405017916,186.0,B
112,48.0,337.27859649122803,379.07438596491227,237.5,C
113,48.0,841.2473716759431,387.44836116264685,269.5,D
114,48.0,591.7566265060241,396.8369477911646,207.5,E
115,48.0,415.0567514677104,378.07305936073055,255.5,F
116,48.0,715.7646198830408,393.87792397660814,228.0,G
117,48.0,932.2810256410256,389.96717948717946,162.5,H
118,48.0,1102.3808785529716,338.6335917312661,322.5,I
119,48.0,1178.6840527577936,338.705035971223,278.0,J
120,49.0,99.22299651567944,394.21022067363526,143.5,A
121,49.0,160.2054794520548,387.5515981735159,182.5,B
122,49.0,337.23849964614294,379.1472045293701,235.5,C
123,49.0,840.4538606403013,387.2272441933459,265.5,D
124,49.0,592.0539452495974,397.33896940418674,207.0,E
125,49.0,415.3233333333333,377.548,250.0,F
126,49.0,718.864393939394,391.51969696969695,220.0,G
127,49.0,930.2807924203272,387.0396210163652,193.5,H
128,49.0,1102.4497192445124,338.5523226135783,326.5,I
129,49.0,1179.100237247924,338.9288256227758,281.0,J
130,50.0,98.90382513661201,393.82185792349725,152.5,A
131,50.0,161.96317829457362,388.43410852713174,172.0,B
132,50.0,337.33193570929416,379.2683438155136,238.5,C
133,50.0,839.2193146417445,386.47538940809966,267.5,D
134,50.0,592.5549828178694,397.8127147766323,194.0,E
135,50.0,416.9293125810635,388.8547341115434,257.0,F
136,50.0,720.3052126200274,386.9492455418381,243.0,G
137,50.0,923.8980392156861,378.1333333333333,212.5,H
138,50.0,1102.54004004004,338.8098098098098,333.0,I
139,50.0,1179.288382953882,338.27495621716287,285.5,J
140,51.0,98.78888888888889,397.02962962962965,135.0,A
141,51.0,162.93963963963964,388.45855855855854,185.0,B
142,51.0,337.37636612021856,379.2226775956284,244.0,C
143,51.0,839.5133333333333,386.07151515151514,275.0,D
144,51.0,593.4044444444444,398.736,187.5,E
145,51.0,409.20750551876375,392.6158940397351,151.0,F
146,51.0,717.3872950819672,383.92418032786884,244.0,G
147,51.0,913.4333333333333,381.798,250.0,H
148,51.0,1102.5187376725837,339.5670611439842,338.0,I
149,51.0,1175.420918367347,348.7423469387755,196.0,J
150,52.0,96.48726467331117,394.5957918050941,150.5,A
151,52.0,163.1877192982456,388.1017543859649,190.0,B
152,52.0,337.3524590163934,379.06284153005464,244.0,C
153,52.0,839.1258697027198,385.6369386464263,263.5,D
154,52.0,593.882145998241,398.66842568161826,189.5,E
155,52.0,411.83968926553666,391.5282485875706,236.0,F
156,52.0,715.9290646578781,382.8436911487759,265.5,G
157,52.0,917.4714407502131,382.67092924126166,195.5,H
158,52.0,1102.544328875681,339.79049034175335,336.5,I
159,52.0,1168.6758241758241,359.3162393162393,273.0,J
160,53.0,93.92436974789916,390.55929038281977,178.5,A
161,53.0,163.12136752136752,388.0974358974359,195.0,B
162,53.0,337.3811475409836,378.9521857923497,244.0,C
163,53.0,839.0168224299066,385.5009345794393,267.5,D
164,53.0,593.9767025089606,398.7034050179211,186.0,E
165,53.0,412.5244122965642,382.8722121760096,276.5,F
166,53.0,713.9069306930693,380.7049504950495,252.5,G
167,53.0,922.4134477825464,383.9105865522174,233.0,H
168,53.0,1102.5877592311583,340.2534142640364,329.5,I
169,53.0,1166.3641364136413,378.05775577557756,303.0,J
170,54.0,93.56095481670928,389.89002557544757,195.5,A
171,54.0,162.90630182421225,387.3540630182421,201.0,B
172,54.0,337.5117565698478,378.9432918395574,241.0,C
173,54.0,838.2347600518806,385.3800259403372,257.0,D
174,54.0,594.212201591512,398.7931034482759,188.5,E
175,54.0,414.2260917634052,380.27694859038144,301.5,F
176,54.0,712.810546875,379.28971354166663,256.0,G
